geoname,cvap_est
"Rockingham, Virginia",63415
"Russell, Virginia",20990
"Scott, Virginia",17605
"Shenandoah, Virginia",33935
"Smyth, Virginia",23735
"Southampton, Virginia",14520
"Spotsylvania, Virginia",102050
"Stafford, Virginia",109115
"Surry, Virginia",5380
"Sussex, Virginia",9025
"Tazewell, Virginia",32305
"Warren, Virginia",30770
"Washington, Virginia",44350
"Westmoreland, Virginia",14735
"Wise, Virginia",28985
"Wythe, Virginia",22620
"York, Virginia",52130
"Alexandria city, Virginia",111025
"Bristol city, Virginia",13605
"Buena Vista city, Virginia",5205
"Charlottesville city, Virginia",36575
"Chesapeake city, Virginia",184475
"Colonial Heights city, Virginia",13535
"Covington city, Virginia",4415
"Danville city, Virginia",32215
"Emporia city, Virginia",4105
"Fairfax city, Virginia",15820
"Falls Church city, Virginia",10420
"Franklin city, Virginia",6010
"Fredericksburg city, Virginia",20770
"Galax city, Virginia",4680
"Hampton city, Virginia",105785
"Harrisonburg city, Virginia",38380
"Hopewell city, Virginia",16830
"Lexington city, Virginia",6590
"Lynchburg city, Virginia",62085
"Manassas city, Virginia",25325
"Manassas Park city, Virginia",10495
"Martinsville city, Virginia",9870
"Newport News city, Virginia",136210
"Norfolk city, Virginia",181155
"Norton city, Virginia",3045
"Petersburg city, Virginia",25275
"Poquoson city, Virginia",9505
"Portsmouth city, Virginia",73840
"Radford city, Virginia",14255
"Richmond city, Virginia",178940
"Roanoke city, Virginia",73225
"Salem city, Virginia",20075
"Staunton city, Virginia",20270
"Suffolk city, Virginia",71210
"Virginia Beach city, Virginia",343070
"Waynesboro city, Virginia",16795
"Williamsburg city, Virginia",13295
"Winchester city, Virginia",19780
"Adams, Washington",10025
"Asotin, Washington",17425
"Benton, Washington",140170
"Chelan, Washington",54745
"Clallam, Washington",63125
"Clark, Washington",366850
"Columbia, Washington",3190
"Cowlitz, Washington",83440
"Douglas, Washington",27660
"Ferry, Washington",5955
"Franklin, Washington",53040
"Garfield, Washington",1830
"Grant, Washington",59250
"Grays Harbor, Washington",58375
"Island, Washington",69025
"Jefferson, Washington",28590
"King, Washington",1546015
"Kitsap, Washington",213455
"Kittitas, Washington",35965
"Klickitat, Washington",17190
"Lewis, Washington",62630
"Lincoln, Washington",8515
"Mason, Washington",50840
"Okanogan, Washington",28820
"Pacific, Washington",19000
"Pend Oreille, Washington",10890
"Pierce, Washington",669245
"San Juan, Washington",15070
"Skagit, Washington",95750
"Skamania, Washington",9785
"Snohomish, Washington",580225
"Spokane, Washington",411495
"Stevens, Washington",36590
"Thurston, Washington",222665
"Wahkiakum, Washington",3600
"Walla Walla, Washington",46705
"Whatcom, Washington",173495
"Whitman, Washington",37160
"Yakima, Washington",150895
"Barbour, West Virginia",12370
"Berkeley, West Virginia",93100
"Boone, West Virginia",17135
"Braxton, West Virginia",10125
"Brooke, West Virginia",18270
"Cabell, West Virginia",74925
"Calhoun, West Virginia",5085
"Clay, West Virginia",6285
"Doddridge, West Virginia",6710
"Fayette, West Virginia",32115
"Gilmer, West Virginia",6120
"Grant, West Virginia",8910
"Greenbrier, West Virginia",26385
"Hampshire, West Virginia",18785
"Hancock, West Virginia",23425
"Hardy, West Virginia",11245
"Harrison, West Virginia",51690
"Jackson, West Virginia",21720
"Jefferson, West Virginia",44430
"Kanawha, West Virginia",142900
"Lewis, West Virginia",13315
"Lincoln, West Virginia",15810
"Logan, West Virginia",25695
"McDowell, West Virginia",14815
"Marion, West Virginia",44915
"Marshall, West Virginia",24780
"Mason, West Virginia",20150
"Mercer, West Virginia",47040
"Mineral, West Virginia",21530
"Mingo, West Virginia",18220
"Monongalia, West Virginia",86135
"Monroe, West Virginia",9770
"Morgan, West Virginia",14145
"Nicholas, West Virginia",19355
"Ohio, West Virginia",33740
"Pendleton, West Virginia",5045
"Pleasants, West Virginia",6160
"Pocahontas, West Virginia",6525
"Preston, West Virginia",27580
"Putnam, West Virginia",44645
"Raleigh, West Virginia",58455
"Randolph, West Virginia",22825
"Ritchie, West Virginia",6765
"Roane, West Virginia",11115
"Summers, West Virginia",10085
"Taylor, West Virginia",13230
"Tucker, West Virginia",5785
"Tyler, West Virginia",6755
"Upshur, West Virginia",18935
"Wayne, West Virginia",30750
"Webster, West Virginia",6690
"Wetzel, West Virginia",11415
"Wirt, West Virginia",4095
"Wood, West Virginia",66375
"Wyoming, West Virginia",16940
"Adams, Wisconsin",17620
"Ashland, Wisconsin",12555
"Barron, Wisconsin",36230
"Bayfield, Wisconsin",13435
"Brown, Wisconsin",197970
"Buffalo, Wisconsin",10550
"Burnett, Wisconsin",13730
"Calumet, Wisconsin",39570
"Chippewa, Wisconsin",51455
"Clark, Wisconsin",23805
"Columbia, Wisconsin",45505
"Crawford, Wisconsin",12825
"Dane, Wisconsin",423915
"Dodge, Wisconsin",70360
"Door, Wisconsin",24840
"Douglas, Wisconsin",35220
"Dunn, Wisconsin",36000
"Eau Claire, Wisconsin",83365
"Florence, Wisconsin",3850
"Fond du Lac, Wisconsin",80000
"Forest, Wisconsin",7430
"Grant, Wisconsin",40585
"Green, Wisconsin",28655
"Green Lake, Wisconsin",14780
"Iowa, Wisconsin",18405
"Iron, Wisconsin",5195
"Jackson, Wisconsin",16230
"Jefferson, Wisconsin",66860
"Juneau, Wisconsin",21210
"Kenosha, Wisconsin",125575
"Kewaunee, Wisconsin",16030
"La Crosse, Wisconsin",95830
"Lafayette, Wisconsin",12410
"Langlade, Wisconsin",15630
"Lincoln, Wisconsin",23195
"Manitowoc, Wisconsin",63285
"Marathon, Wisconsin",104500
"Marinette, Wisconsin",33665
"Marquette, Wisconsin",12545
"Menominee, Wisconsin",2895
"Milwaukee, Wisconsin",667205
"Monroe, Wisconsin",34010
"Oconto, Wisconsin",31190
"Oneida, Wisconsin",31125
"Outagamie, Wisconsin",143440
"Ozaukee, Wisconsin",71230
"Pepin, Wisconsin",5680
"Pierce, Wisconsin",33205
"Polk, Wisconsin",35765
"Portage, Wisconsin",55920
"Price, Wisconsin",11430
"Racine, Wisconsin",146455
"Richland, Wisconsin",13395
"Rock, Wisconsin",122460
"Rusk, Wisconsin",11270
"St. Croix, Wisconsin",70275
"Sauk, Wisconsin",49770
"Sawyer, Wisconsin",14685
"Shawano, Wisconsin",32005
"Sheboygan, Wisconsin",89480
"Taylor, Wisconsin",15260
"Trempealeau, Wisconsin",22080
"Vernon, Wisconsin",22600
"Vilas, Wisconsin",19205
"Walworth, Wisconsin",80735
"Washburn, Wisconsin",13505
"Washington, Wisconsin",106415
"Waukesha, Wisconsin",312905
"Waupaca, Wisconsin",41005
"Waushara, Wisconsin",19940
"Winnebago, Wisconsin",134245
"Wood, Wisconsin",57470
"Albany, Wyoming",30110
"Big Horn, Wyoming",8545
"Campbell, Wyoming",33290
"Carbon, Wyoming",10860
"Converse, Wyoming",10270
"Crook, Wyoming",5375
"Fremont, Wyoming",29400
"Goshen, Wyoming",9975
"Hot Springs, Wyoming",3635
"Johnson, Wyoming",6750
"Laramie, Wyoming",75870
"Lincoln, Wyoming",14335
"Natrona, Wyoming",59845
"Niobrara, Wyoming",2015
"Park, Wyoming",23455
"Platte, Wyoming",6890
"Sheridan, Wyoming",24100
"Sublette, Wyoming",6645
"Sweetwater, Wyoming",29890
"Teton, Wyoming",17190
"Uinta, Wyoming",14535
"Washakie, Wyoming",6030
"Weston, Wyoming",5425
"Adjuntas Municipio, Puerto Rico",14690
"Aguada Municipio, Puerto Rico",31740
"Aguadilla Municipio, Puerto Rico",44885
"Aguas Buenas Municipio, Puerto Rico",19885
"Aibonito Municipio, Puerto Rico",20345
"Añasco Municipio, Puerto Rico",21260
"Arecibo Municipio, Puerto Rico",72175
"Arroyo Municipio, Puerto Rico",12720
"Barceloneta Municipio, Puerto Rico",18515
"Barranquitas Municipio, Puerto Rico",22885
"Bayamón Municipio, Puerto Rico",150770
"Cabo Rojo Municipio, Puerto Rico",39080
"Caguas Municipio, Puerto Rico",104005
"Camuy Municipio, Puerto Rico",27130
"Canóvanas Municipio, Puerto Rico",33325
"Carolina Municipio, Puerto Rico",124420
"Cataño Municipio, Puerto Rico",18675
"Cayey Municipio, Puerto Rico",34350
"Ceiba Municipio, Puerto Rico",9305
"Ciales Municipio, Puerto Rico",13845
"Cidra Municipio, Puerto Rico",32540
"Coamo Municipio, Puerto Rico",28285
"Comerío Municipio, Puerto Rico",15415
"Corozal Municipio, Puerto Rico",27845
"Culebra Municipio, Puerto Rico",965
"Dorado Municipio, Puerto Rico",28610
"Fajardo Municipio, Puerto Rico",26080
"Florida Municipio, Puerto Rico",9510
"Guánica Municipio, Puerto Rico",11165
"Guayama Municipio, Puerto Rico",29670
"Guayanilla Municipio, Puerto Rico",14400
"Guaynabo Municipio, Puerto Rico",74430
"Gurabo Municipio, Puerto Rico",33095
"Hatillo Municipio, Puerto Rico",32055
"Hormigueros Municipio, Puerto Rico",13170
"Humacao Municipio, Puerto Rico",41840
"Isabela Municipio, Puerto Rico",35400
"Jayuya Municipio, Puerto Rico",11750
"Juana Díaz Municipio, Puerto Rico",37305
"Juncos Municipio, Puerto Rico",29800
"Lajas Municipio, Puerto Rico",19420
"Lares Municipio, Puerto Rico",23085
"Las Marías Municipio, Puerto Rico",7140
"Las Piedras Municipio, Puerto Rico",28570
"Loíza Municipio, Puerto Rico",19065
"Luquillo Municipio, Puerto Rico",14560
"Manatí Municipio, Puerto Rico",32230
"Maricao Municipio, Puerto Rico",4415
"Maunabo Municipio, Puerto Rico",8735
"Mayagüez Municipio, Puerto Rico",60240
"Moca Municipio, Puerto Rico",30435
"Morovis Municipio, Puerto Rico",23285
"Naguabo Municipio, Puerto Rico",18695
"Naranjito Municipio, Puerto Rico",23865
"Orocovis Municipio, Puerto Rico",17090
"Patillas Municipio, Puerto Rico",13210
"Peñuelas Municipio, Puerto Rico",16140
"Ponce Municipio, Puerto Rico",110835
"Quebradillas Municipio, Puerto Rico",19295
"Rincón Municipio, Puerto Rico",12835
"Río Grande Municipio, Puerto Rico",38625
"Sabana Grande Municipio, Puerto Rico",18595
"Salinas Municipio, Puerto Rico",20620
"San Germán Municipio, Puerto Rico",26075
"San Juan Municipio, Puerto Rico",266755
"San Lorenzo Municipio, Puerto Rico",31065
"San Sebastián Municipio, Puerto Rico",32220
"Santa Isabel Municipio, Puerto Rico",16280
"Toa Alta Municipio, Puerto Rico",54390
"Toa Baja Municipio, Puerto Rico",60845
"Trujillo Alto Municipio, Puerto Rico",55030
"Utuado Municipio, Puerto Rico",23120
"Vega Alta Municipio, Puerto Rico",28260
"Vega Baja Municipio, Puerto Rico",44525
"Vieques Municipio, Puerto Rico",6700
"Villalba Municipio, Puerto Rico",17705
"Yabucoa Municipio, Puerto Rico",25105
"Yauco Municipio, Puerto Rico",28210
