geoname,cvap_est
"Payette, Idaho",18215
"Power, Idaho",4750
"Shoshone, Idaho",10540
"Teton, Idaho",8350
"Twin Falls, Idaho",62795
"Valley, Idaho",9690
"Washington, Idaho",7870
"Adams, Illinois",50570
"Alexander, Illinois",4105
"Bond, Illinois",13550
"Boone, Illinois",37745
"Brown, Illinois",5185
"Bureau, Illinois",25740
"Calhoun, Illinois",3565
"Carroll, Illinois",12660
"Cass, Illinois",8850
"Champaign, Illinois",151205
"Christian, Illinois",26625
"Clark, Illinois",11870
"Clay, Illinois",10205
"Clinton, Illinois",28700
"Coles, Illinois",38235
"Cook, Illinois",3616985
"Crawford, Illinois",14890
"Cumberland, Illinois",8005
"DeKalb, Illinois",75495
"De Witt, Illinois",12110
"Douglas, Illinois",14580
"DuPage, Illinois",654550
"Edgar, Illinois",13505
"Edwards, Illinois",4740
"Effingham, Illinois",25955
"Fayette, Illinois",16970
"Ford, Illinois",10280
"Franklin, Illinois",29330
"Fulton, Illinois",26810
"Gallatin, Illinois",4005
"Greene, Illinois",9405
"Grundy, Illinois",38935
"Hamilton, Illinois",6240
"Hancock, Illinois",13800
"Hardin, Illinois",3150
"Henderson, Illinois",5165
"Henry, Illinois",38095
"Iroquois, Illinois",20685
"Jackson, Illinois",41590
"Jasper, Illinois",7150
"Jefferson, Illinois",28575
"Jersey, Illinois",17115
"Jo Daviess, Illinois",17790
"Johnson, Illinois",10505
"Kane, Illinois",347745
"Kankakee, Illinois",80535
"Kendall, Illinois",90010
"Knox, Illinois",38655
"Lake, Illinois",485975
"LaSalle, Illinois",84315
"Lawrence, Illinois",12240
"Lee, Illinois",27010
"Livingston, Illinois",27710
"Logan, Illinois",22410
"McDonough, Illinois",22310
"McHenry, Illinois",227430
"McLean, Illinois",128840
"Macon, Illinois",79015
"Macoupin, Illinois",35385
"Madison, Illinois",206570
"Marion, Illinois",28505
"Marshall, Illinois",9225
"Mason, Illinois",10360
"Massac, Illinois",10980
"Menard, Illinois",9475
"Mercer, Illinois",12400
"Monroe, Illinois",27135
"Montgomery, Illinois",22565
"Morgan, Illinois",26475
"Moultrie, Illinois",10800
"Ogle, Illinois",39180
"Peoria, Illinois",133445
"Perry, Illinois",16780
"Piatt, Illinois",13000
"Pike, Illinois",11365
"Pope, Illinois",3155
"Pulaski, Illinois",4105
"Putnam, Illinois",4500
"Randolph, Illinois",23900
"Richland, Illinois",11980
"Rock Island, Illinois",106130
"St. Clair, Illinois",194075
"Saline, Illinois",18655
"Sangamon, Illinois",150650
"Schuyler, Illinois",5605
"Scott, Illinois",3835
"Shelby, Illinois",16415
"Stark, Illinois",4200
