State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
LA,Lafayette Parish,10.5,29.2,25.7,34.6
LA,Lafourche Parish,18,40.5,23,18.6
LA,La Salle Parish,17.1,39.9,25.3,17.7
LA,Lincoln Parish,11.3,29.4,22.7,36.6
LA,Livingston Parish,11.3,36.8,30.2,21.7
LA,Madison Parish,23.5,34.1,28.4,14
LA,Morehouse Parish,19.1,38.5,29.5,12.9
LA,Natchitoches Parish,12.5,38.1,26.7,22.8
LA,Orleans Parish,11.3,21.8,26.1,40.7
LA,Ouachita Parish,12,32.5,29.7,25.8
LA,Plaquemines Parish,13.7,31.6,35.7,19
LA,Pointe Coupee Parish,19,37,29.2,14.8
LA,Rapides Parish,12.4,37.5,27.8,22.3
LA,Red River Parish,20.4,49.3,19.6,10.6
LA,Richland Parish,19.9,39.2,24.6,16.3
LA,Sabine Parish,14.2,46.2,26.3,13.3
LA,St. Bernard Parish,18.8,29.5,34.9,16.8
LA,St. Charles Parish,9.3,31.9,31.6,27.2
LA,St. Helena Parish,20.9,46.3,20.8,12
LA,St. James Parish,11.1,39.7,30.5,18.7
LA,St. John the Baptist Parish,13.6,41.1,28.9,16.4
LA,St. Landry Parish,21.5,39.6,24.8,14.1
LA,St. Martin Parish,17.2,46.1,22.5,14.2
LA,St. Mary Parish,19.9,45.5,22.3,12.3
LA,St. Tammany Parish,8.7,24,30.9,36.4
LA,Tangipahoa Parish,16.8,35.9,25.8,21.5
LA,Tensas Parish,21.6,44.2,20,14.2
LA,Terrebonne Parish,17.6,38.9,26.4,17
LA,Union Parish,14.1,43,25.5,17.4
LA,Vermilion Parish,15.2,40.6,25.5,18.7
LA,Vernon Parish,12.2,39.3,29.8,18.7
LA,Washington Parish,16.9,46.2,25.1,11.7
LA,Webster Parish,13.3,43.1,29.2,14.4
LA,West Baton Rouge Parish,11.4,36.9,28.5,23.1
LA,West Carroll Parish,18.4,46.8,23.4,11.4
LA,West Feliciana Parish,16.6,37.6,24.6,21.2
LA,Winn Parish,16.1,46.8,23.8,13.3
ME,Maine,5.9,31,29,34.1
ME,Androscoggin,8,35.6,33.5,22.8
ME,Aroostook,9.4,38.6,30.6,21.4
ME,Cumberland,3.7,20.6,25,50.6
ME,Franklin,6.1,36,29.1,28.8
ME,Hancock,5,30.6,27.8,36.6
ME,Kennebec,5.4,35.3,29.4,29.9
ME,Knox,6.3,30.5,25.3,37.9
ME,Lincoln,5.2,31.1,24.4,39.2
ME,Oxford,8.9,40.9,28.7,21.5
ME,Penobscot,6.1,32.9,31.2,29.8
ME,Piscataquis,8,37.2,33.9,20.8
ME,Sagadahoc,5.7,27.9,27.8,38.7
ME,Somerset,8.2,41.9,30.2,19.7
ME,Waldo,6.8,32.4,27.5,33.3
ME,Washington,9.1,35.9,30.4,24.6
ME,York,5.3,30.2,31.3,33.2
MD,Maryland,9,23.8,25,42.2
MD,Allegany,9.4,40.6,29.1,20.8
MD,Anne Arundel,6.5,21.9,27.5,44.1
MD,Baltimore,8.3,24.3,26.2,41.2
MD,Calvert,5.5,28.5,30.4,35.6
MD,Caroline,15.6,39.5,27.2,17.7
MD,Carroll,5.8,28.2,27.3,38.8
MD,Cecil,8.6,36.3,28.4,26.8
MD,Charles,5.6,30.2,33.2,31.1
MD,Dorchester,12.2,40.3,28.3,19.2
MD,Frederick,6.7,23.4,26.2,43.6
MD,Garrett,9.5,40.9,24.9,24.6
MD,Harford,5.8,26.2,29.2,38.8
MD,Howard,4.8,12.6,18.7,64
MD,Kent,9.5,32.3,20.9,37.4
MD,Montgomery,8.7,13.3,17.9,60
MD,Prince George's,12.9,25,26.5,35.6
MD,Queen Anne's,6.7,29,27.7,36.6
MD,St. Mary's,8.2,29.6,27.3,34.9
MD,Somerset,15.3,38.8,29,16.8
MD,Talbot,7.8,23.9,26.9,41.5
MD,Washington,11.6,36.5,29,23
MD,Wicomico,11.5,32,27.6,28.9
MD,Worcester,6.5,30.1,31.3,32.1
MD,Baltimore city,12.9,28.2,24,34.9
MA,Massachusetts,8.8,22.9,22.4,45.9
MA,Barnstable,4.1,21.4,28.5,46.1
MA,Berkshire,6.6,28.8,26.6,38
MA,Bristol,13.9,30.5,25.9,29.7
MA,Dukes,5.8,25.5,25.6,43.2
MA,Essex,10.1,24.2,24,41.7
MA,Franklin,6.3,27,26.9,39.8
MA,Hampden,13.3,30.1,27.9,28.6
MA,Hampshire,4.8,20.9,23.9,50.4
MA,Middlesex,6.6,17.6,17.3,58.5
MA,Nantucket,2.7,17.2,22.7,57.4
MA,Norfolk,5.8,18,20,56.3
MA,Plymouth,6.9,26.6,26,40.5
MA,Suffolk,12.9,20.4,17.5,49.2
MA,Worcester,8.6,26.7,26.4,38.4
MI,Michigan,8.2,28.4,32.2,31.1
MI,Alcona,8.8,38.6,32.6,20
MI,Alger,6.3,42.7,30.4,20.7
MI,Allegan,8.3,36.5,31,24.1
MI,Alpena,7.2,36.2,39.8,16.7
MI,Antrim,5.7,29.2,32.6,32.5
MI,Arenac,10.6,37.2,37.6,14.6
MI,Baraga,8.7,39.2,36.6,15.6
MI,Barry,6.9,36.5,33,23.6
MI,Bay,9,33.7,37.2,20.1
MI,Benzie,6.6,29.6,31.4,32.4
MI,Berrien,8.4,27.7,33.9,30.1
MI,Branch,11.2,39.7,33,16.1
MI,Calhoun,8.9,35.2,33.9,22
MI,Cass,10.3,33.9,34.6,21.2
MI,Charlevoix,5.3,27.6,34.1,33
MI,Cheboygan,10.3,34.5,32.7,22.5
MI,Chippewa,7.7,34.1,35.3,22.9
MI,Clare,12.9,40.4,34.6,12.2
MI,Clinton,4.9,25.7,37.2,32.2
MI,Crawford,9,32.2,39.3,19.6
MI,Delta,7.7,35.5,37.1,19.7
MI,Dickinson,4,32.4,39.7,23.9
MI,Eaton,5.2,26.8,37.7,30.3
MI,Emmet,4.5,25.6,32.1,37.9
MI,Genesee,9,31.4,36.8,22.8
MI,Gladwin,11,38.2,36.5,14.4
MI,Gogebic,3.8,32.8,41,22.4
MI,Grand Traverse,5.1,22.3,33.9,38.7
MI,Gratiot,8.1,40.6,33.2,18.1
MI,Hillsdale,9.7,40.9,29.8,19.6
MI,Houghton,5.8,30,28.4,35.8
MI,Huron,8.7,42.4,32.4,16.6
MI,Ingham,6.4,21.4,31.5,40.6
MI,Ionia,8.7,39.7,34.7,16.8
MI,Iosco,10.2,37.5,36,16.3
MI,Iron,7.3,42.2,30.6,19.9
MI,Isabella,7.4,30.9,31.1,30.7
MI,Jackson,8,35.5,34.1,22.5
MI,Kalamazoo,5.6,22.9,31,40.5
MI,Kalkaska,11.6,38.2,32.9,17.3
MI,Kent,7.6,23.9,29.9,38.6
MI,Keweenaw,1.9,28.5,31.3,38.3
MI,Lake,17.7,41.3,28.8,12.2
MI,Lapeer,8,36.6,36.3,19.1
MI,Leelanau,3.8,19.5,28.1,48.6
MI,Lenawee,8.9,35.7,32.9,22.5
MI,Livingston,3.9,24.9,33.1,38.1
MI,Luce,8.2,40.2,34.3,17.3
MI,Mackinac,7.4,36.3,30.6,25.7
MI,Macomb,9.4,29.2,34.6,26.8
MI,Manistee,9.7,32.9,34.9,22.5
MI,Marquette,4.6,28.2,32.5,34.7
MI,Mason,6.5,34.6,34.7,24.2
MI,Mecosta,8,37.5,30.7,23.7
MI,Menominee,7.3,42.4,33.6,16.7
MI,Midland,5,27.8,31.6,35.6
MI,Missaukee,9.6,41.2,32.3,16.9
MI,Monroe,8.3,33.4,35.7,22.6
MI,Montcalm,11.9,40.4,33.4,14.4
MI,Montmorency,11.8,39.8,33.1,15.2
MI,Muskegon,7.9,35.2,36.2,20.7
MI,Newaygo,10.6,40,31.1,18.3
MI,Oakland,5.3,18,27.2,49.5
MI,Oceana,10.3,37.9,32.2,19.6
MI,Ogemaw,11.8,38,35.6,14.6
MI,Ontonagon,6.4,42.7,35.6,15.2
MI,Osceola,10.7,39.8,33,16.5
MI,Oscoda,14.6,37.7,34,13.8
MI,Otsego,5.7,32.1,36,26.3
MI,Ottawa,5.8,26.6,31.1,36.5
MI,Presque Isle,7.9,36.8,35.5,19.8
MI,Roscommon,9.3,33.8,38.4,18.5
MI,Saginaw,9.5,32.7,35,22.9
MI,St. Clair,8.1,33.4,38.6,19.9
MI,St. Joseph,12.8,36.1,33.9,17.2
MI,Sanilac,9.1,42.8,32.8,15.3
MI,Schoolcraft,11,38.3,30.6,20.1
MI,Shiawassee,7.9,34.4,38.6,19.2
MI,Tuscola,8.5,45.5,30.8,15.3
MI,Van Buren,11.6,32.7,33.5,22.2
MI,Washtenaw,4.2,14.4,23.9,57.4
MI,Wayne,12.2,29.6,31.7,26.5
MI,Wexford,10,36.3,33.8,19.9
MN,Minnesota,6.3,23.7,31.8,38.2
MN,Aitkin,7.4,37.2,37,18.3
MN,Anoka,5.8,27.4,35.3,31.5
MN,Becker,6.9,28.8,38,26.3
MN,Beltrami,7.6,26.5,34.5,31.4
MN,Benton,8.3,28.8,39.2,23.6
MN,Big Stone,6.6,38.9,34.1,20.3
MN,Blue Earth,5.2,24.8,34.9,35.2
MN,Brown,7,35.2,33.8,23.9
MN,Carlton,5.9,31.6,37.5,25.1
MN,Carver,3.7,18,28.6,49.8
MN,Cass,6.1,31.7,37.3,24.8
MN,Chippewa,9.3,33.3,37.6,19.8
MN,Chisago,4.8,32.2,39.5,23.6
MN,Clay,5.7,22.7,34.8,36.7
MN,Clearwater,12.4,36.9,32.4,18.3
MN,Cook,2.8,23.2,27.6,46.4
MN,Cottonwood,8.7,33.9,34.9,22.5
MN,Crow Wing,5.7,29,38.2,27.2
MN,Dakota,4.4,19.8,31.7,44.1
MN,Dodge,4.2,29.4,36.1,30.3
MN,Douglas,4.3,30,37.2,28.4
MN,Faribault,6.7,33.9,37.9,21.4
MN,Fillmore,8.1,31.9,36.7,23.3
MN,Freeborn,11.5,33.4,38,17.1
MN,Goodhue,5.5,33.5,33.2,27.8
MN,Grant,6.7,31.8,42.4,19
MN,Hennepin,6.2,15.3,25.9,52.6
MN,Houston,5.2,33.4,34.8,26.7
MN,Hubbard,5.9,28.1,36.4,29.6
MN,Isanti,7.5,34.6,38.2,19.7
MN,Itasca,5.6,30.4,39.4,24.7
MN,Jackson,6.5,33.5,36.8,23.1
MN,Kanabec,8.7,38.8,37.6,15
MN,Kandiyohi,9.9,26.9,37.3,25.9
MN,Kittson,4,35.6,33.2,27.2
MN,Koochiching,7.3,33.3,42.4,17.1
MN,Lac qui Parle,5.9,36.9,36.4,20.8
MN,Lake,7.1,30.8,36.1,26.1
MN,Lake of the Woods,4,32.1,42.6,21.2
MN,Le Sueur,5.1,33.7,36.5,24.7
MN,Lincoln,6.7,35.8,35.1,22.4
MN,Lyon,7.2,28.1,37.2,27.5
MN,McLeod,6.5,34.4,40.2,18.9
MN,Mahnomen,13.1,35.2,38,13.7
MN,Marshall,7.4,39.1,35,18.5
MN,Martin,6,34,36.9,23.1
MN,Meeker,5.9,35.4,38.6,20
MN,Mille Lacs,9.4,36.5,37.5,16.7
MN,Morrison,7.6,39.1,35.9,17.5
MN,Mower,9,34.1,32.9,24
MN,Murray,8.8,35.8,33.8,21.6
MN,Nicollet,4.9,24.7,35.5,34.9
MN,Nobles,20.6,31.2,31.1,17
MN,Norman,7.2,33.4,37.6,21.9
MN,Olmsted,5.1,19.6,27.6,47.7
MN,Otter Tail,6.8,27.1,39.5,26.6
MN,Pennington,4.7,30.2,45.5,19.7
MN,Pine,8.8,40.9,34.9,15.4
MN,Pipestone,7.3,36.7,35.5,20.5
MN,Polk,6.6,29.2,37.5,26.7
MN,Pope,4.8,30.6,42.2,22.4
MN,Ramsey,8.8,20.3,26.2,44.7
MN,Red Lake,5,36.5,41.2,17.3
MN,Redwood,7,36.2,36.8,20
MN,Renville,8.6,34.9,38.5,18
MN,Rice,7.5,32.3,30.2,30
MN,Rock,6,33.4,33.2,27.4
MN,Roseau,7.1,37.4,35.5,20
MN,St. Louis,5.1,25.4,37.8,31.7
MN,Scott,5.1,20.3,31.8,42.9
MN,Sherburne,5.6,28.4,38.7,27.3
MN,Sibley,6.8,37.6,37.7,17.8
MN,Stearns,7.3,27.4,36.9,28.4
MN,Steele,7.3,30.3,34,28.4
MN,Stevens,6.4,30.7,34.3,28.6
MN,Swift,6.9,32.3,37.9,22.9
MN,Todd,11,40.6,33.5,14.8
MN,Traverse,6.2,36.8,40.9,16.2
MN,Wabasha,5.5,32.5,35.3,26.7
MN,Wadena,7.5,35.3,38.8,18.4
MN,Waseca,7.1,35.1,35.9,22
MN,Washington,3.8,19,29.3,47.9
MN,Watonwan,12.2,34.7,35,18.2
MN,Wilkin,6.7,30.8,38.3,24.2
MN,Winona,6.9,26.5,34.9,31.8
MN,Wright,5.1,28.1,33.7,33.1
MN,Yellow Medicine,7.4,32.7,40.5,19.4
MS,Mississippi,13.8,29.8,32.5,23.9
MS,Adams,17.5,33.1,29.2,20.3
MS,Alcorn,18.1,34.1,30.2,17.6
MS,Amite,12.5,42.3,36,9.2
MS,Attala,15.9,36.7,31.2,16.2
MS,Benton,22,33.8,33.2,11
MS,Bolivar,17.8,25.4,29.7,27.2
MS,Calhoun,21.7,34.9,31.5,12
MS,Carroll,21.2,31.2,29.6,18
MS,Chickasaw,24,33.8,31,11.3
MS,Choctaw,13.1,41.6,28,17.3
MS,Claiborne,17.9,29.4,30.5,22.3
MS,Clarke,14.3,35.9,37.1,12.7
MS,Clay,18.3,33.4,30.3,18
MS,Coahoma,18.7,24.3,37,20
MS,Copiah,15.1,31.9,31.7,21.3
MS,Covington,17.1,32.3,34.8,15.7
MS,DeSoto,8.8,28.8,34.9,27.4
MS,Forrest,10.5,26.2,34.7,28.7
MS,Franklin,15.7,31.4,36.4,16.5
MS,George,14,36.2,33.8,16
MS,Greene,18.9,38.2,31.6,11.4
MS,Grenada,18,31.8,28.1,22.1
MS,Hancock,9.6,30.2,35.8,24.4
MS,Harrison,10.9,28.6,35.7,24.8
MS,Hinds,11.1,23,34.6,31.3
MS,Holmes,19,35.7,30.6,14.7
MS,Humphreys,25.2,28.7,27.5,18.6
MS,Issaquena,35.7,40,19.2,5.2
MS,Itawamba,14.8,34.8,35.2,15.3
MS,Jackson,11.3,27.7,37.4,23.6
MS,Jasper,11.4,43.5,30.2,14.9
MS,Jefferson,24.1,30.5,25.7,19.7
MS,Jefferson Davis,14.5,40.1,31.2,14.2
MS,Jones,13.9,31.6,33.8,20.7
MS,Kemper,20,32.7,30.7,16.5
MS,Lafayette,8.2,21.6,25.1,45.1
MS,Lamar,8.8,26,31.6,33.6
MS,Lauderdale,15.8,27.5,36.3,20.4
MS,Lawrence,17.1,38,31,13.9
MS,Leake,18.7,36.6,27.8,16.9
MS,Lee,12.7,27,32,28.3
MS,Leflore,16.8,33.9,30.1,19.2
MS,Lincoln,12.7,38,30.2,19.2
MS,Lowndes,12,32.7,29.2,26.1
MS,Madison,7.4,17.2,25.8,49.5
MS,Marion,17.2,37.6,33.9,11.3
MS,Marshall,17.2,37.8,31,14
MS,Monroe,15.1,40.3,28.5,16.1
MS,Montgomery,24.4,28.9,29.9,16.9
MS,Neshoba,17.7,33.5,33.5,15.3
MS,Newton,14.3,32.4,37.1,16.2
MS,Noxubee,18.9,41.6,26.1,13.4
MS,Oktibbeha,9.1,21.4,25.1,44.4
MS,Panola,18.1,32.2,33.6,16
MS,Pearl River,13.1,34.9,36,15.9
MS,Perry,14.1,42.6,32.6,10.8
MS,Pike,17.3,34.9,31.1,16.7
MS,Pontotoc,19.9,28.8,33.4,17.9
MS,Prentiss,16.5,31.7,33.3,18.5
MS,Quitman,24.8,31.1,29.7,14.4
MS,Rankin,10,23.6,33.7,32.7
MS,Scott,22.3,31.8,34.8,11.1
MS,Sharkey,20.3,39.7,23.9,16
MS,Simpson,19.9,32.7,30.9,16.5
MS,Smith,18,36.8,30.8,14.5
MS,Stone,14.4,34.8,36.5,14.3
MS,Sunflower,23,31,28.7,17.4
MS,Tallahatchie,21.9,34.4,32.1,11.7
MS,Tate,16.5,32.7,32.8,18.1
MS,Tippah,20.7,30.5,32.9,15.8
MS,Tishomingo,18.5,32.3,34.4,14.8
MS,Tunica,16.4,41.1,25.6,16.9
MS,Union,22.4,31.1,28.8,17.7
MS,Walthall,18.5,35.1,28.1,18.3
MS,Warren,12.3,26.1,34.8,26.8
MS,Washington,19.9,31.5,28,20.6
MS,Wayne,17.5,36.8,25.8,19.8
MS,Webster,15.2,36.9,30,17.9
MS,Wilkinson,14.7,49,24.9,11.5
MS,Winston,14.5,36.8,31.2,17.4
MS,Yalobusha,15.5,46.1,26,12.3
MS,Yazoo,23,38.3,26.8,11.9
MO,Missouri,8.7,30.5,29.6,31.2
MO,Adair,8,32.2,25.5,34.3
MO,Andrew,5.5,38.7,29.6,26.1
MO,Atchison,9.3,42.4,26.9,21.3
MO,Audrain,13.2,41.5,29.9,15.4
MO,Barry,14.5,41.6,29,14.9
MO,Barton,13.4,41.6,26.7,18.3
MO,Bates,11.5,48.5,26.1,13.9
MO,Benton,12.4,41.1,31.5,15
MO,Bollinger,15.7,47.2,25.4,11.7
MO,Boone,5.2,20.6,24.5,49.7
MO,Buchanan,10.4,37.7,28.5,23.3
MO,Butler,16.4,40.5,29.2,13.9
MO,Caldwell,10.2,44.1,29,16.8
MO,Callaway,9.8,35.5,29.8,24.9
MO,Camden,8.3,36.2,33,22.6
MO,Cape Girardeau,8.2,31.4,26.8,33.6
MO,Carroll,8.6,44,26.7,20.7
MO,Carter,16.6,48.1,20.5,14.8
MO,Cass,5.9,32.7,33.6,27.9
MO,Cedar,14.2,40.1,28.4,17.3
MO,Chariton,7.9,44,26.6,21.4
MO,Christian,7.2,27.4,33.5,31.9
MO,Clark,10.4,46.3,30.4,12.9
MO,Clay,6.2,26.9,32,34.9
MO,Clinton,6.2,43.7,27.8,22.3
MO,Cole,7.5,29.6,27.2,35.8
MO,Cooper,9.5,38.8,28.3,23.3
MO,Crawford,15.8,38.6,32,13.6
MO,Dade,10.6,42.7,32.3,14.4
MO,Dallas,11.1,48.9,26.6,13.3
MO,Daviess,12.9,40.7,26.3,20.1
MO,DeKalb,10.8,44.8,29.9,14.6
MO,Dent,14.4,39.3,29,17.3
MO,Douglas,15.2,39.9,29.1,15.7
MO,Dunklin,20,42.5,23.9,13.6
MO,Franklin,9.6,34.2,34.8,21.4
MO,Gasconade,11.1,39,30.5,19.3
MO,Gentry,12.4,43,23.5,21.1
MO,Greene,6.9,28.2,32.5,32.4
MO,Grundy,14.6,38.6,31.9,15
MO,Harrison,9.2,45.9,28,16.9
MO,Henry,10.9,42.1,31.2,15.9
MO,Hickory,10.6,48.2,31.1,10.1
MO,Holt,6.4,45.1,27.5,21.1
MO,Howard,11.5,35,27.2,26.4
MO,Howell,13.8,40.7,27.5,18
MO,Iron,13.7,37.9,29.6,18.8
MO,Jackson,8.3,28.4,30.4,33
MO,Jasper,11.7,35,28.6,24.7
MO,Jefferson,8.8,32.2,36.2,22.8
MO,Johnson,7.6,33.4,30.5,28.4
MO,Knox,14.8,43.5,25.7,16
MO,Laclede,12.7,41,29.4,16.9
MO,Lafayette,8.3,42.2,26.6,22.9
MO,Lawrence,14.2,40.1,30.4,15.3
MO,Lewis,13.6,44.4,27,15
MO,Lincoln,9.3,40.4,32,18.3
MO,Linn,9.6,46.2,24.6,19.6
MO,Livingston,12.5,41,27.1,19.5
MO,McDonald,20.7,40.5,27,11.8
MO,Macon,8.7,45.2,28.6,17.5
MO,Madison,11.8,44.2,27.9,16.1
MO,Maries,13,41.6,27,18.4
MO,Marion,10.3,37.5,27.5,24.7
MO,Mercer,9,43.4,27.1,20.5
MO,Miller,10.9,38.8,29.2,21.1
MO,Mississippi,20.7,47.7,17.9,13.7
MO,Moniteau,13.6,42.8,24.9,18.7
MO,Monroe,10,49.2,24.4,16.4
MO,Montgomery,12.3,42.9,28.9,16
MO,Morgan,20.3,39.4,26.5,13.9
MO,New Madrid,16.7,46,24.3,13
MO,Newton,10.7,35.2,31.9,22.2
MO,Nodaway,5.8,38.6,29.6,26
MO,Oregon,14.2,45.4,26.1,14.3
MO,Osage,7.2,42.3,27.3,23.1
MO,Ozark,19.1,41.3,29.3,10.4
MO,Pemiscot,17.8,48.1,22.5,11.6
MO,Perry,14.4,40.9,24.4,20.3
MO,Pettis,12.4,34.4,34.6,18.5
MO,Phelps,8.2,31.4,28.8,31.6
MO,Pike,13.6,50.4,20.7,15.4
MO,Platte,3.6,21.7,30.3,44.3
MO,Polk,12.1,37.4,30.2,20.3
MO,Pulaski,5.5,30.4,37.1,26.9
MO,Putnam,6.6,43,32,18.4
MO,Ralls,8.5,48.8,26.9,15.8
MO,Randolph,10.4,41.2,31.4,17.1
MO,Ray,10.3,45.1,29.4,15.1
MO,Reynolds,21.3,38,26.5,14.2
MO,Ripley,17.8,39.1,31.2,11.9
MO,St. Charles,4.6,22.8,30.7,42
MO,St. Clair,10.6,43.7,33.3,12.4
MO,Ste. Genevieve,8.5,39.3,35.8,16.4
MO,St. Francois,13.1,38.2,33.2,15.5
MO,St. Louis,5.8,20.8,27.3,46.1
MO,Saline,12.1,36.6,26.4,25
MO,Schuyler,7.6,49.9,30.1,12.4
MO,Scotland,16.8,40.8,27.8,14.6
MO,Scott,13.6,38.3,26.9,21.2
MO,Shannon,14.1,45.2,25.8,14.9
MO,Shelby,11.5,44.2,26.7,17.6
MO,Stoddard,18.5,43,23.6,14.9
MO,Stone,9.7,35.3,34.4,20.6
MO,Sullivan,14.2,48.8,22.5,14.4
MO,Taney,10.2,33.1,32.9,23.8
MO,Texas,15.1,38.9,30.8,15.2
MO,Vernon,11.6,39.6,31,17.8
MO,Warren,11.7,38,31.1,19.2
MO,Washington,18.3,42.6,26.8,12.3
MO,Wayne,17.8,42.1,29,11.1
MO,Webster,12.1,38.7,30.8,18.4
MO,Worth,6,53.1,25.3,15.6
MO,Wright,17.6,41.8,27.8,12.8
MO,St. Louis city,10,24.7,26.7,38.6
MT,Montana,5.5,27.8,32.7,34
MT,Beaverhead,5.7,27.2,30.7,36.4
MT,Big Horn,10.7,32.9,36.6,19.8
MT,Blaine,10.9,26.7,38.7,23.8
MT,Broadwater,6.7,27.4,43.6,22.3
MT,Carbon,4.2,31.1,33.3,31.4
MT,Carter,5.7,31,42,21.3
MT,Cascade,6.6,31.9,33.8,27.6
MT,Chouteau,7.7,37.7,30.1,24.5
MT,Custer,5.6,31.6,36.2,26.6
MT,Daniels,3.8,32.2,38,26
MT,Dawson,4.8,23.7,46.9,24.6
MT,Deer Lodge,9.5,40.3,29.9,20.2
MT,Fallon,3.5,37.8,40.6,18.1
MT,Fergus,5.4,29.8,37.3,27.6
MT,Flathead,4.4,28,32.7,34.9
MT,Gallatin,2.4,17.8,26.9,52.9
MT,Garfield,2.9,36.4,39.3,21.4
MT,Glacier,13.3,35.2,31,20.5
MT,Golden Valley,8.7,34.3,33.6,23.4
MT,Granite,9.6,30.1,28.9,31.5
MT,Hill,9.6,32,34.7,23.7
MT,Jefferson,6.3,26.9,33.6,33.3
MT,Judith Basin,5.8,26.9,40.1,27.3
MT,Lake,7.7,25.6,34.8,31.9
MT,Lewis and Clark,5,22.9,29.5,42.7
MT,Liberty,23.4,21.6,27.8,27.2
MT,Lincoln,7.6,38.9,36,17.5
MT,McCone,3.1,31.6,44,21.3
MT,Madison,3.6,28.4,36.3,31.6
MT,Meagher,2.8,26.4,34.6,36.2
MT,Mineral,6.9,31.5,35.5,26
MT,Missoula,3.6,20.8,31.1,44.5
MT,Musselshell,8.9,35.4,36,19.7
MT,Park,3.1,26.6,34,36.3
MT,Petroleum,0.3,43.7,32.2,23.8
MT,Phillips,6.8,36,37.1,20
MT,Pondera,12,29.8,36.2,21.9
MT,Powder River,10.7,28.3,35.5,25.5
MT,Powell,7.5,45.7,27.4,19.4
MT,Prairie,13.8,29.7,34.1,22.4
MT,Ravalli,7,29.5,34.8,28.8
MT,Richland,4.3,42.2,39.4,14.2
MT,Roosevelt,6.8,32.9,40.5,19.8
MT,Rosebud,10.3,33.5,36.8,19.4
MT,Sanders,9.4,38.8,33.8,18.1
MT,Sheridan,9.5,33.8,31.2,25.5
MT,Silver Bow,6.5,33.8,32.1,27.7
MT,Stillwater,7.1,32.5,31.2,29.3
MT,Sweet Grass,4,32.1,40.3,23.6
MT,Teton,10.2,31.8,32.5,25.5
MT,Toole,12.6,38.5,26.5,22.3
MT,Treasure,5.9,30.5,31.4,32.2
MT,Valley,6.7,29.3,44.3,19.6
MT,Wheatland,7.6,37,34.7,20.7
MT,Wibaux,4.9,44.4,28.2,22.5
MT,Yellowstone,4.7,28.6,32.5,34.3
MT,Yellowstone National Park,,,,
NE,Nebraska,8.1,25.4,33,33.5
NE,Adams,7.6,27.2,38.2,27.1
NE,Antelope,6.4,33.9,39.2,20.5
NE,Arthur,3.5,21.6,43.5,31.4
NE,Banner,8.8,16.7,44.1,30.4
NE,Blaine,9.6,37.6,32,20.8
NE,Boone,6.1,39.5,36.4,18
NE,Box Butte,8.1,29.3,44.6,18.1
NE,Boyd,4.8,44.1,34.3,16.9
NE,Brown,7.5,33.4,37.7,21.3
NE,Buffalo,7.4,24.6,32.8,35.2
NE,Burt,9,34.2,33.4,23.4
NE,Butler,7.6,34.9,32.2,25.3
NE,Cass,4.6,28.4,35.8,31.3
NE,Cedar,5.3,37.1,34.3,23.3
NE,Chase,12.1,28.1,35.5,24.4
NE,Cherry,2.2,33.8,38.1,25.9
NE,Cheyenne,7.7,31.7,36.8,23.8
NE,Clay,6.7,34.4,37.3,21.6
NE,Colfax,26.9,28.3,32,12.8
NE,Cuming,7.9,35.9,32.3,24
NE,Custer,5.3,32,36.9,25.8
NE,Dakota,21.4,34.2,30.1,14.3
NE,Dawes,4.4,24.5,35.1,36
NE,Dawson,21.2,31.6,31.2,16
NE,Deuel,10.3,28.6,40.3,20.8
NE,Dixon,15.6,32.9,29.2,22.2
NE,Dodge,11.3,35.7,31.3,21.7
NE,Douglas,8.6,20.7,29.4,41.2
NE,Dundy,5.8,27.1,40.9,26.3
NE,Fillmore,5.6,34.4,37.1,22.8
NE,Franklin,6.9,32.2,41.7,19.2
NE,Frontier,6.2,26.5,43.9,23.4
NE,Furnas,10.2,30.6,37.8,21.4
NE,Gage,7.5,37.8,34.7,20
NE,Garden,6.2,32.8,38,23.1
NE,Garfield,4.3,24.4,39.4,31.9
NE,Gosper,6.1,28.4,37.4,28.1
NE,Grant,8.3,26.7,38,27
NE,Greeley,7.2,38.6,37.1,17.1
NE,Hall,15.1,31.5,32.1,21.3
NE,Hamilton,2.8,28.9,43.3,24.9
NE,Harlan,7.3,28.5,39.7,24.5
NE,Hayes,7,34.4,40.5,18.1
NE,Hitchcock,6.5,30.6,44,18.8
NE,Holt,6.1,29.9,36.6,27.5
NE,Hooker,6.9,34.5,31.4,27.1
NE,Howard,4.1,38.3,35.3,22.3
NE,Jefferson,7.9,37.2,35.6,19.3
NE,Johnson,10.5,41.6,28.9,19
NE,Kearney,6.3,27.8,35,30.9
NE,Keith,9.2,28.5,42.5,19.9
NE,Keya Paha,1.9,32.2,37.1,28.8
NE,Kimball,14.7,36.8,37,11.5
NE,Knox,8.1,36,37,18.9
NE,Lancaster,6.7,20.9,31.5,40.9
NE,Lincoln,6.5,29.9,43.4,20.2
NE,Logan,2.5,27.2,45,25.3
NE,Loup,1.1,36.2,43.2,19.5
NE,McPherson,6.2,31.9,44.5,17.4
NE,Madison,7,31.9,36.6,24.5
NE,Merrick,7.1,36.9,38.6,17.4
NE,Morrill,10.6,33.9,36,19.4
NE,Nance,7.8,33.8,39.5,19
